Sort2,Topics,Questions,Gold keywords,Queries(Keywords)
Economics & Markets,tax policy,"Income Tax You Pay Is Fair, Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.","""tax policy"", ""income tax"", ""tax fairness"", ""tax burden"", ""tax rate"", ""tax return"", ""tax bracket"", ""tax reform"", ""flat tax"", ""progressive tax""","tax policy, income tax, tax fairness, tax burden, tax rate, tax return,   tax bracket, tax reform, flat tax, progressive tax,   fair taxation, tax justice, equitable tax, wealth tax, tax evasion,   tax avoidance, corporate tax, loophole reform,   public spending, fiscal policy, government budget, cultural funding,   taxpayer subsidy, welfare funding, defense spending,   infrastructure tax, education spending, healthcare tax,   tax cuts, small government, tax-and-spend, economic freedom"
,trade / globalisation,"Increasing trade is gaining/losing for US, Foreign Trade Is Opportunity for Economic Growth, Protectionism is sometimes necessary in trade.","""trade policy"", ""global trade"", ""foreign trade"", ""international trade"", ""free trade"", ""trade barriers"", ""trade surplus"", ""trade deficit"", ""trade agreement"", ""trade sanctions""","trade policy, global trade, foreign trade, international trade, free trade,   protectionism, globalization, global economy, trade barriers, import tariffs,   trade surplus, trade deficit, trade agreement, export controls, trade sanctions,   trade liberalization, economic growth, job loss, offshoring, outsourcing,   fair trade, market access, trade imbalance, comparative advantage,   trade war, economic nationalism, global justice, populist trade, WTO rules, supply chains"
,free-market / corporate regulation,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation. The freer the market, the freer the people. The only social responsibility of a company should be to deliver a profit to its shareholders. A genuine free market requires restrictions on the ability of predator multinationals to create monopolies. What¡¯s good for the most successful corporations is always, ultimately, good for all of us.","""free market"", ""deregulation"", ""market freedom"", ""government regulation"", ""market intervention"", ""corporate ethics"", ""environmental regulation"", ""market concentration"", ""corporate lobbying"", ""laissez-faire""","free market, deregulation, laissez-faire, market freedom, economic liberty,   government regulation, market intervention, antitrust law, corporate ethics,   CSR, stakeholder capitalism, shareholder value, profit maximization,   social responsibility, ethical business, environmental regulation, labor rights,   wage control, emissions cap, sustainability policy, green business, ESG policy,   monopoly power, market concentration, multinational corporations,   corporate lobbying, crony capitalism"
,"inequality (welfare, redeistribution)","Business corporations make too much / reasonable amount of profit,  People are ultimately divided more by class than by nationality. It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society. Those with the ability to pay should have access to higher standards of medical care. ","""income inequality"", ""wealth gap"", ""economic divide"", ""welfare system"", ""redistribution policy"", ""social safety net"", ""poverty reduction"", ""universal basic income"", ""progressive taxation"", ""economic mobility""","income inequality, wealth gap, economic divide, social stratification, class division,   income disparity, economic justice, class conflict, social welfare, income redistribution,   progressive taxation, universal healthcare, public services, basic income, welfare state,   healthcare access, capital gains, financialization, labor exploitation, working class,   wage stagnation, minimum wage, living wage, economic mobility, corporate profit,   profit inequality, rent seeking, social contribution, tax the rich, billionaire tax"
,macroeconomics (efficiency),"Controlling inflation is more important than controlling unemployment, If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.","""inflation control"", ""price stability"", ""unemployment rate"", ""economic growth"", ""GDP growth"", ""fiscal stimulus"", ""monetary policy"", ""aggregate demand"", ""aggregate supply"", ""economic efficiency""","inflation control, price stability, unemployment rate, job creation, GDP growth,   macroeconomic policy, monetary policy, fiscal stimulus, economic efficiency,   trade-off, Phillips curve, policy lag, central banking, interest rate,   cost-push inflation, demand shock, economic globalization, global capitalism,   transnational corporations, global justice, neoliberalism, fair economy,   sustainable growth, human-centered economy, inclusive growth, economic equity,   developmentalism, economic sovereignty, corporate power, social welfare"
,,,,
,,,,
Governance & Civil Rights,government size / power,"Small vs bigger government , Government Should Ensure That Everyone Has Healthcare, Federal Government Has Too Much Power, Government Should Do More to Solve Nation's Problems, Charity is better than social security as a means of helping the genuinely disadvantaged.","""small government"", ""big government"", ""limited government"", ""federal power"", ""government overreach"", ""government aid"", ""centralized authority"", ""state intervention"", ""subsidiarity"", ""public sector""","small government, big government, limited government, federal power, centralized authority,   government overreach, state intervention, subsidiarity, public sector, bureaucracy,   universal healthcare, social security, welfare state, government aid, public services,   income support, entitlement programs, charity model, libertarianism, collectivism,   individual liberty, civic responsibility, public good"
,civil liberties / surveillance,"Our civil liberties are being excessively curbed in the name of counter-terrorism. Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.","""civil liberties"", ""mass surveillance"", ""surveillance state"", ""electronic surveillance"", ""personal freedom"", ""privacy rights"", ""constitutional rights"", ""individual autonomy"", ""free speech"", ""due process""","civil liberties, personal freedom, privacy rights, constitutional rights, individual autonomy,   free speech, due process, habeas corpus, mass surveillance, government spying,   surveillance state, facial recognition, metadata tracking, electronic surveillance,   data retention, warrantless search, digital privacy, counterterrorism, national security,   security trade-off, threat perception, public safety"
,media & information,"There is now a worrying fusion of information and entertainment. No broadcasting institution, however independent its content, should receive public funding.","""media trust"", ""misinformation"", ""disinformation"", ""state media"", ""media subsidy"", ""independent media"", ""media funding"", ""commercial media"", ""media privatization"", ""media bias""","media trust, fake news, misinformation, disinformation, sensationalism, infotainment,   news integrity, fact checking, journalistic standards, public broadcasting, state media,   media subsidy, independent media, media funding, editorial independence,   commercial media, media privatization, media bias, ideological framing,   information overload, media literacy, agenda setting, fourth estate"
